id,content,label,cleaned_length
440,كان رايح فرح تبع حد صاحب بس اتلغ فرحة شغال لناس غريب أي رأي أعمل نفسي تبع هو أرقص معاهم اصلي انا صراحة مبضون مصدقت كان فرح,joy,122
441,بدلة فرحة حد اقترح عليا مكان هو بدل كويس أو تايل حلو عرف هو اكون شاكر,joy,69
442,هو فرحة حشاني نفسي فرحة رجع هو ضعيف حالي,joy,40
443,انا سيبت خطيبتي علشان فرح أول خط البنت قولى انا مبحبش دوشه ممكن عمل حاجة تانيه فلوس فرح زي عمر مثل أن هو عارف اني رعب ذنوب جاري هو مش هتحل اعمل فرحة اشيل ذنب الذي جو قول هو هجبلك فسة ميكب ارتسى وزف حاج قاع بس انا مش عاوز أغن عنى نكتب كتاب ألقاع أكل نزل مشروب خلاص اعتى نروح مهم جيت اكلم أب هو لا زم أغن طلعوني متشدد غير هو عنى صلنا خلاف لقي البنت صف أهل هو عاوز أغن بعد موفق عاللي قول حد قول مش عاوز أغن تصدم انا اه ممكن اسمع اغنيه حالي مش متشدد وس فمر أن هاخد ذنب ٥٠٠ شخص مثل موضوع هيست طول حياة هو واحد سمع اغنيه اللي اشتغل فرح قد أمل الاقي إنسان مش عاوز اغاني خايف اضعف استسلم رغبة مجتمع,anxiety,590
444,لو مش هتعل فرحة هتح فل افتراض هو اتفق على هو هتمل الفلوس انا نفسي لو بيت مش متشطب أحسن حاجة هظب لو تمام أبقى هو,joy,111
445,جيل تسعينات هو عايزين نعمل فرحة غير مهرجان عايزين نعمل فرح شغل أغن قديم ٢٠١٠ قبل أغن الذي اشتغل فرح احنا صغيرين دي قبل قرف مهرجان شارك الذي هو,joy,142
446,حظك يوم ثلاثاء تمبر ماغي فرح,joy,28
447,فرح اخت الاكس قرب أبعت هو,joy,25
448,جدعان واحد هنا فرحة بنت عمة النهارد مش عايز راح ممكن تهدد هو هتال عمة عشان راح,joy,78
450,روابي فرح يوم رح روابي فرحة مشروع طيف ممكن كبر اكتر أكتر هو قضى وقت طيف الحمدلل جبت خبز الي هو راائع اكلنا منقوشة بيض جبن هو تحت جاجة .و مالك ليث دويكات بني آدم عندو فكر هدف خطط ممكن تحرر هو مدى بعيد أعرف اكتر عنو نصيحة أخير دابوق طلع,joy,234
451,عام أنتى ألف خير عيد فطر مبارك على هو انعاد على هو صحة سعادة يا رب جعل يوم هو هو فرح هناء أدام على هو نعمة صحة طمأنينة شاء الله كان عايد فايز أما بعد عمي شوڪت عيد وقف سني شيعي أنطى هو اثنان,joy,189
452,مش متخيل ازاي إنسان قبل هو أبقى عريس عروسة فرحة الف عين تفرج على هو رقص هو مفيش خجل خالص فكرة فضيح دي هو أصل,joy,108
453,فرح الاكس انا الاكس ارتبطنا سنة بعد هو شكل هو ارتباط قي هو صحاب ضلنا كدا سنة بعد هو دلوقتي ارتبط عازماني على خطوبة هو عايزاني اروح مش قايلة خطيب هو هو كنا مرتبط زمان انا بحب هو صديقة عادي بس حاسس أن مرواح خطوبة هو رد فشخ مش حبق مرتاح موقف عموم اروح لأ,joy,251
454,فكر فرح إسلامي هادي مبدئي موضوع مفيهوش مزايدة تعلية أي حاجة ربنا يهدينا جميع انا حاول بس ابقى إنسان احسن أبد خطوة زي دي رضا ربنا ناس افاضل كتير عملو فرحة مختلط هو أحسن مني ألف مرة بلاش مزايدة الكومنتات بس هتج كتاب كتاب إشهار هعم إنسان حاجة أن شاءل الشتا آخر شهر ١٢ الذي جاي قاهرة ناوي أعمل فرح شكل إسلامي محتاج مساعدة استشارة كام نقطة طبع كلمة إسلامي أقصد بي هو شكل أساسي انفصال رجالة الستات أول عاوز اقتراح فكر نظام فرح شكل فقرة اللي عشان إنسان متزهقش ثاني عاوز رقم إنسان أو بيدج أو اقتراح آتي مكان فضل كان قاعة الستات برة اوبن إير أو جنينة رجالة كان قاهرة حبذ لو حد فكرة متوسط سعر ميكاب ارتيستس عروسة شكر كم دعوة هو يا رب فرحة دخل يوتكم جميع قريب,joy,648
456,فرح اختي قبل أول امتحان ثانوي عام بيم ظرف اختي وجوز هو خلة هو عمل فرح قبل امتحان عربي يوم وانا سا مخلصتش جزء معين عربي منى دعال هو أن ربنا أعدى امتحان خير لأن بجد قلقانة حزين جد مش عارف أفرح أخة غير أحس ذنب,anxiety,206
457,كلمة غنية ليل سارة فرحة كلمة غنية ليل سارة فرح يا طول على بعاد هو أصعب سوادك هو حس قلبي حس هو هو هو بس حبك هو أخص ماعاد بده ياني دق بابي دق حبك مصدر كلمة غنية ليل سارة فرح,joy,171
458,أوتفيت فرح هل لاق على جرافة أحسن شكل كدا كويس,joy,45
459,فشتان فرح ليالي احزاني عدغري صورة مش سيباني ،انا دموعي قلب ياباني اؤمر الاردر مفتوح,joy,83
460,أي فايدة حياة دي بجد ملهاش أي هدف غير قضى وقت لو حظك حلو وكنت مقبول محبوب هتعيش مبسوط مش هتح وقت بايي معاناة لكى لو شكك وحش أو مشوه أو معوق أو مش مقبول بايي سبب هتكون وحيد حزين هو صعب مش أعدى منتظر دون فايدة هيبق خائف إنسان حزن هو ليك فرح,sadness,238
461,شهبانو فرح پهلوی ألا در نوجوانی بار هو با غضة در گلو اشک میگفت بابا نباید میمرد هنوز خیلی چیز هو بود أو باید یاد میداد,joy,118
462,البس أي فرحة أخويا مش عارف مش لاقي بدل عجب مضيق جد أن نوع الي متردد جد,joy,70
463,فرح مصري قدر تشوف تفرقة طبقي الستات الرجالة لول بس غير كدة حلو,joy,62
464,حفلة فرحة مكان مفتوح مش حابب هو بدل حد اقتراح تنسيق كلاسيك هنزل اشترى بس مش عارف هو اجيب إيه,joy,92
465,امي غضبان على غضب شديد مو راضي تسامحني أدرى شقل يا ناس اللٰه تعب بنت عمري ١٧ سنة قبل بلش قصة هو عندي مشكلة نفسي اكتشف هو أمس انا انسانة فيني غضب غضب غضب مو طبيعي مكتووم وجي يوم انفجر بس أمس مرة اوفر موضوع انا امي أحس هو أحب اخوي أكثر مني هو دايما أحال رضي هو أصبر على هو مدري إيش آخر ألاق هو فضل أخوى هو دايم قال هو بينا بينا عاد ربي أعلم هو مشكل هو انا شي مرة تاف موضوع كبير لين تدخل قالتي اللٰه أكر هو قلبي انا سمع كلمة انهر لأن هو صاير تردد هو مرة كثير انا أحسب نفسي كويس حاول رضي هو مدري أيش عد أصغر غلط قلى هومة مرة قبل جرح هو بس كنت قال خلاص شكوى اللٰه بس انا أمس كنت فعل مضغوط جت هومة كان هو كف صقعني فوجهى تحمل صراخ صراخ أدرى شصار لي طبع خل دعوة ضربة اللٰه كدماات جسمي مهم انا معترف اني كان غلطانة يوم جي كلم هو اعتذر هو الوالدة ربي سامح هو ابدأ مو قابل ادعى على طيب انا عارفة اني غلطانة اعترف غلطب هو اللٰه أول مرة أسوى هو وعد هو شوف موضوع نفسي كرر هو هو جالسة ادعى هو اللٰه ثم اللٰه كان قاصدة صدق صدق مدري شصر فيني ذٰيك لحظة مو كني نفسي اللٰه مدري ليش انفجر طريقة بس صار اللٰه دي غير تسامحني كفى شسوي انا أمانة دعال انصحى إيس تصرف صحيح هٰذا حالة,anger,1055
466,غضب رب عباد أتقي,anger,16
467,لي إنسان ماسك رقاب بعض قي غضب غير مبرر,anger,38
468,غضب عارم هو كرجل قعد هو خويك طاولة ارتشن طاولة ثاني ضية لي,anger,58
469,وش سبب تراجع وراء هل امتصاص غضب إرهابي إلى عايش بلد مو منطقي اطلع كلام هو أعطى تصريح بيع خمر ل٠٠ة محل نفس وقت أنزل قرار إلا عشان امتصى غضب شعب تقرب شعب طريق دين حصل كافة حكومة الي واجه غضب شعبي مثل مصر حالي دولة كثير تاريخي كيف استضاف اكسبو كاس عالم بعد هو سن قانون متشدد كذا شخصي اشوف قانون الي طلع هو سامج عدى تصوير عامل منزلي طفل أن إذا باكى مرتاح بيت وين ارتاح باق هو قانون هبل,anger,381
470,انا دكتور مسح الاكونت اغبي قرار أخد أخدت حظ غضب علشان مضيق اني مش عارف اذاكر قعد ساعة خلص إلى ورايا هو,anger,102
471,إيش حل تعليق الريجبيت كتاب كلام تعمد أثار غضب إنسان كثير شافف هو خاص التيك تويتر كتب كلام عرف أن إنسان تهاجم عشان هاجم غالب كان كلام مسيء دولهالسعود هو أكثر شي أو طائفة انا اشوف أفضل حل عدم مناقشة هو أصل أو محاول قنع هو أن نقاش عقيم شخص راح قنتع أول والا أخير انا شك أن غالب مدفوع هو إيش تسوي أغلب شعب دافع ناقش حساب مدفوع تهجم كتاب فكر غالب ماهو مقتنع هو عشان قام عيش حالي شاف هو كثر بعد حادث جبل أخضر إف هو هو اللٰه توقع سعودي دولة معصوم الأخطاء انتظر أي خطأ عشان كتب شوفو كيف سعودي خطير منطق هل توقع أي دولة معصوم خطأ إيش شاف حل معهم,anger,536
472,عوذ اللٰه غضب الله لي هو بس بنى انا اللي ضحك هو اكتر الذي حسب هو طريق انتي مش عايز تشيلي مسؤول عايز انبسط مسؤول مش مقتصر خلف تربيه ممكن كان قادر اعمل هو اشيل نوع دا مسؤولي هل انا شخص نفع كان أم أصل هل انا لازم كان مطلب مني اخلف اربي بدون رغبتي أو قدرة مسؤول مش مقتصر خلف دور أم استهان طبع بس ياريت منحسبهاش هو,anger,309
473,لي واحد شتم حصل دا مش ملاك بعدين نبرة غضب ياري نقفل موضوع,anger,57
474,غضب غير مبرر إذا احد اهلي سأل هو دراسة اصير دفاعي زيادة اتضايق رغم مرة أعطى ردة فعل قدام هو شعور خايس احس فتر قل نص ساعة,anger,120
475,خايف غضب ربي حين هو متهاوش هو أو أصح بغى تكلم اللٰه أمزح نقاش هو تحول عصبية انتهى سالف هو هو أبكى قهر أعطى وجه تمسك جولى هو تجاهل هو حاول أرض هو بس تقفل نفس هو باب هو أخاف غضب ربي هو كذا قال هو هو أبغى أحط حد معك هو أكلم رد على قال هو هو هو رد مالي دخل اللٰه عضيم احس باق بيجى هو جلط كمل قال هو مو بنتي هو حق واحد هجر الذي ضايق زعل زعلانة مني موضوع استاهل معد اعرف وش اسوي أبغا أكمل الزعل ابغا ربي أغضب مني,anger,406
476,محدش فكر مشى تاني عشان مطلعش غضب رينچر عليكاو حبم كلكوا اللٰه,anger,61
478,لحظة غضب يخوان انا سايق راجع دوام يوم سيئ مشكلة بينجو وراي بضل زمر ضوى مهم انا طلعني حياتي صار وجي قدامي دعس بريكات مهم انا وصل جنب اتطلعت علي القزاز مسكر عمل حالي هو بزق على لأن جد مستفزز قية رأي مصور نمرة هاي حالة شو قدر عمل,anger,226
479,غضب الله إذا شفا احد بيه هاي علامة عرف انو الله عاقب زم هو همه عاقب,anger,67
480,غضب إلهي صح هيك دكم نحكي ياصلاعمة,anger,33
481,قول كلام وسخ حظة غضب مكانش نفع تقال مش عارف أعمل أو إصلاح هو ازاي موضوع بدا نقاش أبويا سياسة ٩٩ مشكلة بيت سبب خناقة سياسة مهم مقتنع برأى وانا مقتنع برأي تاني واحنا اتنان هو حتة عصبية بس عصبي انا ببقا بارد مستفز جوايا غلي مهم أبويا اتعصب جامد قعد يقوللي كلام نوعية هو عيل شخة ابن وسخة مبتصليش معرفش مهم بعد مشى طلع برا أمي قال عاجبك كدا تخلي ابوك فضح هو كدا قول هو آتي انا زهق هو عايز اعيش حدى اشتغل انا هخلص سنة دي ومش هترف طريق تاني ٣ث انا خلاص مبقاش ليا نفس أعاط ازعق أثبت نفسي لحد انا اللي عايز هو اعيش مرتاح عيد هو قال عنى هو عايز كسر قلبي خلاص أمل هو ابننا ازاي قول هو انا فعل مش مهتم دي مش مشكلتي محدش ضربك أيدك قالك اعملي عملية اتعبي معرفش انا هنا رايح هو اناني عاش هو نفسي نفسي وبس قالتلي هو كدا كره هو بنى طب افرض حصل لحد هو حاجة انا ليا مين غيرك قول هو ليك اختي بعدين لو حصل حاجة تامين معاش موجود انتي لو حصل حاجة هنجيب ديلفري كلام وسخ قاسي بس كان مبضون ساعة هو اللٰه مكانش قصدي أجرح هو كدا بعدين انتي حد قالك تخلف دني سالف ودين كر عيال عمل كدا أكتر كدا كمان هو لازم كشف مينفعش أساب نفس كدا هو سنة صعب قول هو مش عايز اخلف عايز اتجوز انا عاجبني نفسي كدا لو سنة مش عايز اجيب مجموع حاجة جزء الذي جاي مش هعرف نقل تفصيل بس مختصر إني جبل هو سيرة عماتي هو كره هو مش كره هو أبويا الذي عايز هو أبعد هو ارتاح خلاص بعد هو كلمتني موضوع صلاة قدر نصيب مال بنون زينة حياة دني كدا قول هو مش عايز جنة عايز نار مش عايز حاجة دني دي غير راحة عارف هو بوظ دني خالص بس اللٰه انا عايز أصلح دني وف نفس وقت مازل عايز ارتاح عاش حد بعيد هو وف نفس وقت مش عايز ابقا عاق جاحد الدرجادي انا مسلم مش ملحد كافر غير بس هو اللي كرهوني نفسي,anger,1512
482,عنى أخال هو بعد درس جيولوجيا درس علم زلزلة أجال عيل عىىرص صب قاهرة قالك الزلازل سبب هو غضب ربنا طب ربنا بعى ريح شالت خيم توع عزة يا مدلى يولاد العىرص,anger,149
484,غضب قابس الإهالي اقتحم مجمع كيميائي بعد اختناق ابن هو فشل دولة إيجاد حلول تلوث,anger,78
485,غضب كلم أو حرك وحد قادر هو استفزن تخليني أغضب شكل غير مبرر سواء شارع بيت مكان سبب أو آخر أقدر إتمالك نفسي حظة هو حمدلي ككن احتاج طريق أقدر أطلع هو غالغض غير مبرر استثناء شتم ضرب أن هو خيار غير عمل عاقبة هو خيم واقع هو,anger,217
486,اختفاء تبرع موقع كشف منتقد كيرك أثار غضب متبرع,anger,46
487,اختفاء تبرع اكشف قتلة تشارلي كيرك غضب متبرع نصب محتمل,anger,53
488,غضب متبرع اختفاء مال قصة قاعدة بيان كشف قتلة تشارلي كيرك,anger,56
489,خميس يوم غضب قابس دعا اتحاد جهوي الشغل قابس فرع قابس رابطة تونسي حق إنسان بيان مشترك مساء يوم ثلاثاء أكتوبر قوة حي منظمة نشيط مجتمع مدني كافة أهل قابس يوم غضب جهوي يوم خميس أكتوبر جاري حسب جاء بيان تحرك أتى أمام وضع كارثي عاش متساكنو جهة خاص منطقة طوق مجمع كيميائي تونسي تكرار حالة اختناق جماعي يومي ظل وصف اتحاد جهوي الشغل فرع قابس رابطة حق إنسان عجز سلطة جهوي مركزي مواصلة هو سياسة مماطلة استهتار مطلب جهة وفق جاء بيان حسب بيان كان نقطة تجمع أمام باب رئيسي مجمع كيميائي تونسي قابس ذٰلك بداية ساعة تاسع صباح تاسع صباح طالب اتحاد جهوي الشغل قابس فرع رابطة تونسي دفاع حق إنسان إدارة مجمع كيميائي تونسي سلطة جهوي مركزي إيقاف فوري وحدة ملوث أجب على هو فعل منذ حادثة سبتمبر,anger,669
490,غضب موقع تواصل بعد حادثة صفع مسينة سويس حادثة صفع مسينة سويس أثار الفيديو ظهر أحد شخص صفع رجل مسن مرة وجه مدينة سويس موجة واسع غضب رائد موقع تواصل اجتماعي عبر عديد مستخدم استياء هو شديد طالب توقيف معتد معاقبة قانوني نظر إهانة رجل مسينة يعامل كوالد مصدر,anger,252
491,اختفاء موقع كشف منتقد كيرك بعد جمع ألف دولار أثار غضب مانح تساؤل حول مصير مال,anger,77
492,لحظة غضب مش نهاية دني ليش بعض أهل ردا دعاء بلاء بدل رحمة أحظ ظاهرة غريب استقام منطق حين علو صوت ابن أو ابنة الديهما سارع بعض أب أم رفع كرت دعاء على هو موت أو بلاء كلمة طيبة حوار الهادئ كفيلان أصل موقف دون ذٰلك دعاء قاسي أيعقل قابل غضب عابر أو تصرف حظة انفعال دعاء غضب موت بينما استطاع والد أو والدة ذات لحظة رفع يديه هداية رزق الصلاح ابنه! أليس أحق أجمل الله ملاحظة رضا والد رضا الله برهما طريق بركة دني آخر أحسن إلى هو ساند هو استطاع هدف هنا ليس إنقاص قدر والد بل نقد عادة دعاء قاسي موقف أمكن علاج هو حكمة رحمة رأي هو,anger,518
493,غضب السواقة أمس كنت جالس اسوق طبيعي طريق داخل حي شخص طريق فرعي داخل يمين سرعة بس ضغط البوري عشان أنتب ضغط بريك قوة نزل سيارة وصار أصبع لي صرخ بنص شارع امزح ضغطت بوري مرة وحدة بس واحد مضطر تغاضى حفاظ سلامة سلامة سيارة هالناس معقول ناس كذا كيف هالتفرة مقبول متى هالناس تمادى تصرف هو قبل أسبوع كان هند تحديد مومباي عرف كيف سواقة آسيا نوع صعب هو تحدي كثر صوت البواري أوقف حصل مرة شفت شخص صرخ سب احد سبب تصرف سيط مثل سواقة هو أصعب السواقين تعبى نفس هو حاول اختلق مشكلة ليش هالتمادي عندنا كيف صلنا مالمرلة داش كام صار نوع ضرورة,anger,521
495,أسطول صمود غزة هل شعل حدث غضب عالم ضد إسرائيل,anger,45
497,ترجمة تعليق أجنبي رأي عام أجنبي حول قافلة صمود موقف مصر عرف إنسان دي مفيش قلب هو حقد أو غضب أو كره إتجاه مصر ترجمة تعليق أجنبي رأي عام أجنبي حول قافلة صمود موقف مصر عرف إنسان دي مفيش قلب هو حقد أو غضب أو كره إتجاه مصر,anger,217
498,غضب أنا شاب عمري ٢٥ سنة سعودية عندي شهادة جامعة ظيفة معدلي التراكمي ٢.٣ وجب ٦٦ اختبار قدرة رح جامعة سعودي إلكتروني قال لي تسجيل أونلاين لا زم أستنى لين فتح تسجيل بس مرة حاول ألقى طلب تقديم أقدر الذي أطلع لي هو أختار تخصص الذي أب بس استمارة تقديم لي موجود بس استمارة تسجيل طلب رقم جامعي هو طبع عندي هو صرى يائس جامعة ثاني ممكن قبل تبغاني ترجم هو أن هو أكتب رسالة رسمي جامعة أو بغى هو هجة عامي عشان حكى شخص عادي آن حاول سجل جامعة عربي مفتوح تسجيل هو مفتوح بس أقرب نهاية تسجيل أعاد لي صفحة,anger,486
499,تضرب طاولة جاك نوبة غضب لعب البي سي سلام على هو لاعب خصوص إلى هو نصيحة هو هو إذا كنم عصب كثير ضرب طاولة زي صاحب هو أنكم تشيل ال طاولة أقل انا عندي هو شخص عندي مشكلة متعلق غضب وقت لعب شي صار اضرب طاولة مااوتيت قوة هٰذا شي أدا إلى أن ال بدا سوى إعادة تشغيل ماضربت طاولة لو ضربة خفيف بعض حين سوى هو لو ماضربة هو حث مشكلة طلع فعل منتشر شخص الي هو جان لعب نسبة حل مالقيت حل واضح غير هو نصح تشيل جهاز طاولة أو توقف ضرب طاولة إلى حل مشكلة يفيدنا,anger,438
500,غضب احد طريقة مثلى تعامل غضب اجترار كان تجربة مو بس كلام انا مرة غضب استهلك طاقتي قاعد دفع اني اتصر غير تفكير وب اندفاع أسف هو اقدر اتفاد الي أثار هو,anger,149
501,غضب شعبي واسع اجتاح فرنسا أربعاء تمبر قلم انطلاق حملة نغلق شيء شهد فرنسا منذ صباح يوم أربعاء احتجاج مظاهرة واسع مختلف نحو بلد ذٰذل ضمن حملة شعبي أطلق على هو اسم نغلق شيء عبر منصة تواصل اجتماعي هدف حملة تعبير رفض شارع فرنسي خطة ميزانية دولة مقترح قبل رئيس وزير سابق فرانسوا أيرو مشاركة واسع إضراب شامل توقع سلطة مشاركة قارب ألف شخص احتجاج شمل تنظيم إضراب تعطيل دراسة قطعة طريقة تنظيم مسيرة احتجاجي مظاهرة منذ صباح باكر منذ ساعة أول صباح يوم خرج متظاهر عدة مدينة فرنسي تم تعليق دراسة عديد مدرسة إضافة إغلاق بعض طريقة سريع طرف عاصمة أريس,anger,534
502,ناصر ماهر الزمالك منشور أثار غضب نادي ماذا انضباط عصر سوشيال ميديا,anger,66
504,عندي نوبة غضب عندي نوبة غضب أحال تحكم هو بس أقدر أطلع مني شيء سواء الانترنز زميل صح تحكم بس ستل احس داخلي بركان أغلى احد سوا شيء أعجبني,anger,135
505,خصوص زلزال النهارد كام يوم ريح أسكندري هل اعتبر غضب ربنا مجرد حدث طبيعي مكتوب حصل هل زلزال قوة ريختر عيد هو ٦٠٠ كيلو تصنف غضب ربنا زلزال عادي زي أي زلزال كوكب أرض هل لو غضب ربنا فهيكون صورة زلزال ريختر كام ثأني,anger,210
506,ترقب غضب اللٰه ربنا جيش مابيتحرركوش غير حاجة تافه مدينة كامل طفل نساء شيخ رجل بقي تحت قصف قال هو شهر شغل وضع إلا مبالاة,anger,119
507,أثار غضب مستخدم أوبن إي آي استجاب أعاد,anger,38
508,الذي قدر ساعد ميقصرش راج معبر دخل حاجة لأن غضب ربنا ظلم هو لي هو هيك أكبر كتير غضب كلب قزم إسرائيلي الذي حكم هو لو اصرفن,anger,120
509,غضب عارم ابي احد حكيم استشير موضوع عائلي حصل الويكند أنا فيني غضب الله اعلم,anger,75
510,حاسس بطاق غضب رهيب جوايا عند شعور غضب ناحي حاجة حواليا مش طايق حاجة حواليا عنى دا سبب تفكير حية ادعولي ربنا هان هو,anger,114
511,حرمان مشروع جهة يجر مجلس معزوز غضب فعالي جماعة إقليم مدي,anger,56
512,اجدع دلوقتي لو عند مشعر غضب ناحي شخص أخلى هو راح ازاي خصوص لو شخص دا عايش معاي نفس بيت,anger,86
513,ضيحة جروك شات بوت إيلون ماسك أثار غضب حكومة تصريح مسيء,anger,54
515,غضب كبتن فلسطين ايروندوم فناك زوجة إسرائيل بينما كبت فلسطين نيك إسرائيل ايروندوم فظح غضب كبتن فلسطين هرب صاحب عرب الصهاين حقوا بس أسف ابتن فلسطين جاب صاحب معا هو أسلح قتل صهينة أيروندوم شارك نيك إسرائيل باق هو اصحابه,anger,216
516,تنفيس غضب هٰذا سالفة انقال بس راح قال هو هنا مو مشكلة سقط أول ثمر مشكلتي أحظ قطتي عزيز غالي بدأ مهارة هو قفز أضعف أول ضحك وقلت أم شوف كان غبي ماني فاهمة بعدين استوعب قطة هو خلل مشكلة واضح بعد هو همم ذهاب إلى بيطري ورطة بدأ هنا حسبإ ورطة سيارة هو خربانة محد موجود بيت نصف فرد أسرة خارج مدينة وقف لأن قطتي قطة حر ١٠٠ا امتلك عكس أبد ذٰلك ملك صندوق أحمل هو داخل عادة أمر نسافر جلس سيارة كأي كائن حي غير مكبل مصفدة مهم مهم أخذ هو قلت خلاص نروح مشي بحط هو شنطة مناسبة مشور تجاوز ال ٤٥ دقيقة صلنا بيطري سلام بعد معاناة طبع خاف طبع نظر كاد أن توقف أن هو متمسك ذراع هو غريق تعلق قشة لأن هو حر وغير مكبلة وليست دم نبيلة شيرازية أصل ١٠٠٪؜ بل هو نعرف أب هو الاغلب شارع سارى مهم دفع هو مبلغ كشف انتظرنا بضع دقيقة شهد اللٰه هو دقيقة صعب أن هو ظللت أمسك هو شدة كي تفلى مني جاء دكتورة أخير إ! دكتورة منتظر كشف على هو قطتي أول مرة أرى هو عادى بشر ذٰلك مرة ليس قطة لطيف ككن حتم ليس تلك اللئامة لكناني إف هو هو آن نعم يا قطتي انتي حق طالما حق أخبرتني بيطري أن قطتي عزيز صحة جيد بل ممتاز حرارة هو ليس مرتفع أذن هو نظيف وصحة فم هو رائع تأكيد فضل الله ثم جهد هو لأن هو داوم طعم هو طعام صحي قلب دجاج كبدة ماهو طبيعي طبع بعد هو مؤسسة رأسمالي سمى بيطري استمرر إخبار هو هنال خطب داخل جمجمة هو ليس خارجي تسبب إحباطي قول هو وجد لدى هو أشعة رن مغناطيسي ككن استطيع إعطاء هو حقنة فيتامين جاء رجل بدا أن وظيفة امساك حيوان بدأ على أثر تردد قبيل امساك قطتي اخذ شد قفازات طويل لن حمى مخالب قطتي ليس سبب قوة هو ككن سبب قماش مصنوع عموم حقن الابرة إلا قطتي أصدر ذاك فحيح قفز مسكة هو قفز الكرسي اقسم اللٰه عظيم ثابر إمساك هو كنت وحيد أمسك هو صاحب دور ثانوي إقفان هو اصنام لو هو اصنام هممت مساعد تي فلتت قطتي يد مسرعة هاربة خائفة مشتتة نعم فلتت يد هرب خارج بيطرية اختفى ككن شيء اختفى حنقي فشل هو ذريع عدم اقفال باب حكم همشي هو لي بعد هروب قطتي بل حانقة وجود هو أصل قطتي خلف ثلاثة هرر قيت عالق طفل هو غضبي,anger,1764
517,عندى طاقة غضب بنت وسخ درجة انى شبه حاسس وجع في قلبى مش عارف تنفس خرير مش حاج ريديت دي حاجة برا في حياتى انا عشان حلىن إلى هو أجمع معلومة ميتينى كفرى دعشى سكسى,anger,158
518,اتقى شر الحليم غضب,anger,18
519,إعلامي سري قدوة كتب غضب دولي الفيتو أمريكي مجلس أمن,anger,51
527,غضب زعيم كوريا شمالي كيم جونغ أون سبب خطأ كارثي مرسم إطلاق مدمر إليكم حصل مزيد تفصيل أمكن قراءة مقال كامل متابعة مزيد موضوع حصري المقالات متنوع أمكن زيارة موقع حصول آخر الأخبار المحتوى حصري تابعنا مجموعة,anger,203
528,غضب دفين مثل هو صرى أقعد كثير نفسي حاكى هو غاص ذكريات كنت حاول تجنب هو اكتشف هو أحمل كثير امتعاض غضب مكبوت داخلي موجه غالب عائلة ممتد جد خالي عمم الخ طلع عندي كلام لو قلت هو انقطع علاقة هو تأثر علاقة أهلي حل وحيد الذي توصل عشان حمى نفسي غضب الذي تعبن نفسي جسدي ابتعاد قدر مستطاع هو لأن ابغى أخسر علاقة أهلي سبب كره أعمامي خوالي أجدادي,anger,334
529,غضب إسرائيل شأن تصريح نتنياهو هدف حرب غزة مزيد تفصيل أمكن قراءة مقال كامل متابعة مزيد موضوع حصري المقالات متنوع أمكن زيارة موقع حصول آخر الأخبار المحتوى حصري تابعنا مجموعة,anger,171
530,عراق أداو غضب مقتدى الصدر فعل منصة خلال كلمة مباشر شعل تفاعل مزيد تفصيل أمكن قراءة مقال كامل متابعة مزيد موضوع حصري المقالات متنوع أمكن زيارة موقع حصول آخر الأخبار المحتوى حصري تابعنا مجموعة,anger,190
531,بوست غضب حوالى أو سنة كدا شفى منظر مش قادر اتخطاه خالص شفت عربي أنوس داخل وش وش عربي مرسيدس بحر محدش ماشي عكس بحر قصة أن اللانوس نطا الجزيرة دخل المرسيدس المرسيدس سايق هو راجل شكل ٦٥ سنة ممكن راجل كبير عادي سايق عربي اللي حصل أن حزء القايم تاع عربي اتغرس فخدت عربي مليانة دم اللأنوس سايق هو شب أحد ترعش جامد شكل ودع خلاص واحد مبيتحركش معرفش مغمى على مهم انا سأل نفسي لي هو دا اللي استفاد الجري الشبحنة طريق عربي مش موقف دا بس طريق بحر كوارث سبب شب طايش جرى خلاص منغير تقدير حاجة هو حياة إنسان منظر الراجل كبير مش بيفارق عقلي بخاف نفسي اهلي إصحابي أن دا حصل هو سبب تهور منيكة فارغ مشكلة اني بشوف ريلز كتير اوي إنسان تاخد غرز هو مش شايفين أصل هو رايحين ين تلاقي إنسان تسقل هو الكومنتات بجد منى أن واحد جرى تهور أي طريق مش مخصص كدا تأذى وحد تأذى خسر كتير اوي اوي علشان أراح إنسان اذاه مش عارف انا كدا شخص سئ علشان منى أذى غيري بس هو استاهل علشان هو لولا ستر ربنا زمان هو اتسب أذى إنسان كتير,anger,887
532,تجميد حوار قطاعي يجر غضب شغيلة تجهيز ماء نزار بركة,anger,50
533,مين حق لعبة غضب قراصنة جولى عبة غضب قراصنة انطلق عبة أونلايو تطوير شركة صيني أعب كان معاه أسطول سفينة بحر خريطة عالم تهاجم أعب ثاني سيطر ميناء شارك حدث مثل حدث سفينة كنز أو حدث حرب نقابة حدث استكشاف كنز أعب حاول طار أسطول مدافع معدات لعبة هو كبير اهتمى تسويق إعلان إدارة هو نزيهة درجة أعب صار دفع هو مباشرة فاز معركة لعبة اتقف قي هو غير مقاطع اليوتيوب هالعب شاغلة قتي كثير خلتني اعشق لعب بحر الأساطيل قاعد ادور عبة أشبه هو لو معي فلوس سافرت صين اشتري يرفرات حق لعبة أعاد إطلاق هو,anger,479
